Region,Year,Qtr,No_of_Offences,Population_Num,Live_Register_Num,Mean_Disposable_Income,Rent_Rates,CPI_All_Items,CPI_Water_Electricity_Gas,GBP_per_Euro,USD_per_Euro,Sunshine_Hours,Rainfall(mm),At_Risk_of_Poverty_Rate,Consistent_Poverty_Rate,Daily_Internet_Users,Pupils_Finish_Leaving_Cert,Num_Practising_Religion,GardaÕ_Num,Marriages_Num,Government_Party,Tobacco_gm_per_capita,Alcohol_ltr_per_capita,Pop_In_Good_Health
Dublin,2007,2,26877,623200,46145,41105,934.56,4.9,20.4,0.6756,1.3419,616.1,184.5,18.8,3.1,27,84.6,,16776,5558,Fianna Fàil,1605,13.2,84
Dublin,2007,3,27308,623200,50135,41105,343.09,4.9,20.4,0.6889,1.3896,497.6,245.7,18.8,3.1,27,84.6,,16776,8949,Fianna Fàil,1605,13.2,84
Dublin,2007,4,28519,623200,47096,41105,937.71,4.9,20.4,0.7206,1.457,192.3,264.6,18.8,3.1,27,84.6,,16776,4848,Fianna Fàil,1605,13.2,84
Dublin,2008,1,30112,631300,54800,41215,905.61,4.1,9.6,0.7749,1.5527,245,384.8,17.2,4.2,34,87,,17799,3228,Fianna Fàil,1439,12.2,84.3
Dublin,2008,2,29954,631300,59729,41215,889.36,4.1,9.6,0.7915,1.5553,593.4,195.9,17.2,4.2,34,87,,17799,5351,Fianna Fàil,1439,12.2,84.3
Dublin,2008,3,28668,631300,70407,41215,881.06,4.1,9.6,0.7992,1.437,377,363.8,17.2,4.2,34,87,,17799,8751,Fianna Fàil,1439,12.2,84.3
Dublin,2008,4,27284,631300,77841,41215,859.8,4.1,9.6,0.9045,1.3449,234.2,323.7,17.2,4.2,34,87,,17799,4857,Fianna Fàil,1439,12.2,84.3
Dublin,2009,1,27720,638100,100042,40004,842.06,-4.5,-22,0.9197,1.305,263.1,200.1,14.1,5.7,40,,,17579,3450,Fianna Fàil,1360,11,83.1
Dublin,2009,2,28272,638100,111816,40004,830.31,-4.5,-22,0.8567,1.4016,647.6,248.2,14.1,5.7,40,,,17579,5432,Fianna Fàil,1360,11,83.1
Dublin,2009,3,27768,638100,122578,40004,819.05,-4.5,-22,0.8914,1.4562,478.5,292.3,14.1,5.7,40,,,17579,8047,Fianna Fàil,1360,11,83.1
Dublin,2009,4,27281,638100,116076,40004,792.61,-4.5,-22,0.8997,1.4614,252.3,422.9,14.1,5.7,40,,,17579,4698,Fianna Fàil,1360,11,83.1
Dublin,2010,1,26429,638400,121848,39398,779.39,-1,1.3,0.9016,1.3569,344.6,147.8,12.1,2.8,48,,,16544,3372,Fianna Fàil,1226,11.6,82.8
Dublin,2010,2,28157,638400,121933,39398,773.52,-1,1.3,0.8277,1.2209,649.5,163.3,12.1,2.8,48,,,16544,4993,Fianna Fàil,1226,11.6,82.8
Dublin,2010,3,26751,638400,127675,39398,769.07,-1,1.3,0.8399,1.3067,435.5,298.8,12.1,2.8,48,,,16544,7774,Fianna Fàil,1226,11.6,82.8
Dublin,2010,4,27109,638400,118751,39398,758.54,-1,1.3,0.8481,1.322,255.6,235.2,12.1,2.8,48,,,16544,4455,Fianna Fàil,1226,11.6,82.8
Dublin,2011,1,27193,640800,123038,39029,749.24,2.6,9.7,0.8665,1.3999,316.3,257.8,19.9,5.6,54,,542547,16843,3047,Fine Gael,1241,11.7,83.2
Dublin,2011,2,25038,640800,123585,39029,748.4,2.6,9.7,0.8875,1.4388,574.9,247.6,19.9,5.6,54,,542547,16843,5015,Fine Gael,1241,11.7,83.2
Dublin,2011,3,25734,640800,126911,39029,753.65,2.6,9.7,0.8717,1.377,332.1,176.9,19.9,5.6,54,,542547,16843,7532,Fine Gael,1241,11.7,83.2
Dublin,2011,4,26176,640800,117644,39029,750.05,2.6,9.7,0.8441,1.3179,170.7,330.9,19.9,5.6,54,,542547,16843,4261,Fine Gael,1241,11.7,83.2
