Region,Crime_Type,Year,Qtr,No_of_Offences,Population_Num,Live_Register_Num,Mean_Disposable_Income,Rent_Rates,CPI_All_Items,CPI_Water_Electricity_Gas,GBP_per_Euro,USD_per_Euro,Sunshine_Hours,Rainfall(mm),At_Risk_of_Poverty_Rate,Consistent_Poverty_Rate,Daily_Internet_Users,Garda’_Num,Marriages_Num,Government_Party,Tobacco_gm_per_capita,Alcohol_ltr_per_capita,Pop_In_Good_Health
Northern,Theft and related offences,2009,2,1544,508200,168537,38247,543.46,-4.5,-22,0.8567,1.4016,660.5,239.2,14.1,5.4,27,17579,5432,Fianna F‡il,1360,11,83.1
Northern,Theft and related offences,2009,3,1614,508200,180784,38247,534.37,-4.5,-22,0.8914,1.4562,445.9,307.5,14.1,5.4,27,17579,8047,Fianna F‡il,1360,11,83.1
Northern,Theft and related offences,2009,4,1373,508200,175043,38247,531.63,-4.5,-22,0.8997,1.4614,174.8,393.2,14.1,5.4,27,17579,4698,Fianna F‡il,1360,11,83.1
Northern,Theft and related offences,2010,1,1328,511500,183377,38538,524.4,-1,1.3,0.9016,1.3569,277.4,238.7,13.7,7.4,33,16544,3372,Fianna F‡il,1226,11.6,82.8
Northern,Theft and related offences,2010,2,1573,511500,186545,38538,516.53,-1,1.3,0.8277,1.2209,572.5,147.5,13.7,7.4,33,16544,4993,Fianna F‡il,1226,11.6,82.8
Northern,Theft and related offences,2010,3,1444,511500,194227,38538,510.16,-1,1.3,0.8399,1.3067,400.1,339.6,13.7,7.4,33,16544,7774,Fianna F‡il,1226,11.6,82.8
Northern,Theft and related offences,2010,4,1273,511500,182548,38538,500.73,-1,1.3,0.8481,1.322,213.4,254.4,13.7,7.4,33,16544,4455,Fianna F‡il,1226,11.6,82.8
Northern,Theft and related offences,2011,1,1418,515500,187478,34091,489.3,2.6,9.7,0.8665,1.3999,273.8,252.7,19.8,9.7,40,16843,3047,Fine Gael,1241,11.7,83.2
Northern,Theft and related offences,2011,2,1408,515500,189655,34091,482.37,2.6,9.7,0.8875,1.4388,553.6,251.1,19.8,9.7,40,16843,5015,Fine Gael,1241,11.7,83.2
Northern,Theft and related offences,2011,3,1357,515500,195648,34091,478.97,2.6,9.7,0.8717,1.377,365.9,261.9,19.8,9.7,40,16843,7532,Fine Gael,1241,11.7,83.2
Northern,Theft and related offences,2011,4,1140,515500,182981,34091,472.85,2.6,9.7,0.8441,1.3179,153.4,465.6,19.8,9.7,40,16843,4261,Fine Gael,1241,11.7,83.2
Northern,Theft and related offences,2012,1,1268,510900,184989,30186,465.75,1.7,0.6,0.8345,1.3201,284.5,287.1,24.5,12.7,50,16843,2812,Fine Gael,1163,11.5,82.7
Northern,Theft and related offences,2012,2,1275,510900,186071,30186,461.9,1.7,0.6,0.8058,1.2526,552.1,238.7,24.5,12.7,50,16843,5411,Fine Gael,1163,11.5,82.7
Northern,Theft and related offences,2012,3,1302,510900,191256,30186,458.11,1.7,0.6,0.7982,1.2856,404.5,317.8,24.5,12.7,50,16843,7712,Fine Gael,1163,11.5,82.7
Northern,Theft and related offences,2012,4,1170,510900,177839,30186,453.02,1.7,0.6,0.8124,1.3119,190.2,360.9,24.5,12.7,50,16843,4778,Fine Gael,1163,11.5,82.7
Northern,Theft and related offences,2013,1,1189,509600,180616,31936,447.92,0.5,0.7,0.86,1.2964,252.1,275.5,25.4,18.5,51,16328,3642,Fine Gael,1026,10.6,82
Northern,Theft and related offences,2013,2,1338,509600,179821,31936,445.38,0.5,0.7,0.8519,1.3189,529.6,249.8,25.4,18.5,51,16328,5444,Fine Gael,1026,10.6,82
Northern,Theft and related offences,2013,3,1341,509600,182798,31936,444.2,0.5,0.7,0.8417,1.3348,386.1,218.7,25.4,18.5,51,16328,7760,Fine Gael,1026,10.6,82
Northern,Theft and related offences,2013,4,1160,509600,167366,31936,442.04,0.5,0.7,0.8364,1.3704,187.1,384.1,25.4,18.5,51,16328,4924,Fine Gael,1026,10.6,82
Northern,Theft and related offences,2014,1,1129,503900,167658,33490,438.26,0.2,0,0.8317,1.3823,257.4,428.3,22.5,14.2,55,16329,3624,Fine Gael,982,11,82.5
Northern,Theft and related offences,2014,2,1251,503900,167114,33490,436.58,0.2,0,0.8041,1.3592,561.2,164.2,22.5,14.2,55,16329,5567,Fine Gael,982,11,82.5
Northern,Theft and related offences,2014,3,1317,503900,167903,33490,440.74,0.2,0,0.7911,1.2901,554.3,205.2,22.5,14.2,55,16329,8048,Fine Gael,982,11,82.5
Northern,Theft and related offences,2014,4,1344,503900,153033,33490,439.72,0.2,0,0.7883,1.2331,170.9,417.3,22.5,14.2,55,16329,4956,Fine Gael,982,11,82.5
Western,Theft and related offences,2007,1,1506,623200,45926,41105,925.15,4.9,20.4,0.6802,1.3242,290.8,224.2,18.8,3.1,27,16776,3401,Fianna F‡il,1605,13.2,84
