 ,South,Dublin,North,East,West,,,,South,Dublin,North,East,West
2011M08,53.9,39.7,78.6,64.1,54.1,,,,,,,,
2011M09,112.5,87.3,133,122.6,91.1,,,,,,,,
2011M10,91.8,147.4,177.2,132.8,98.3,,,,,,,,
2011M11,148.6,48.5,105,106,87.5,,,,,,,,
2011M12,87.1,52.2,183.4,89,145.1,,,,,,,,
2012M01,89.5,62.7,134.1,96.1,110.9,,,,,,,,
2012M02,100.1,70.5,123.2,90.6,86.3,,,,,,,,
2012M03,23.7,25.6,29.8,15.4,28.3,,,,,,,,
2012M04,94.8,93.1,46.3,75.4,79.6,,,,,,,,
2012M05,60.7,57.5,50.7,56.4,38,,,,,,,,
2012M06,228.3,147.9,141.7,173.9,166.3,,,,,,,,
2012M07,120.3,85.6,91.5,120.1,112.8,,,,,,,,
2012M08,178.8,77.6,86.6,127.1,89.1,,,,,,,,
2012M09,23.2,83.9,139.7,62.3,61.9,,,,,,,,
2012M10,100.1,70.5,123.2,90.6,86.3,,,,,,,,
2012M11,116.7,72,87.6,68.5,120.3,,,,,,,,
2012M12,145.3,52.3,150.1,91,115.4,,,,,,,,
2013M01,160.5,94.4,145.6,117.8,105.7,,,,,,,,
2013M02,50.1,47.3,68.3,54.8,49.2,,,,,,,,
2013M03,134.9,85.5,61.6,40.1,30.2,,,,,,,,
2013M04,97.2,40.1,62.8,78.2,63.5,,,,,,,,
2013M05,64.3,42.4,103.2,72.1,67.6,,,,,,,,
2013M06,116.4,60.8,83.8,62.8,64.2,,,,,,,,
2013M07,87.1,72,61.1,73.8,60,,,,,,,,
2013M08,32,45.3,88,40.5,70.3,,,,,,,,
2013M09,58.3,39.5,69.6,61.7,43.6,,,,,,,,
2013M10,169.1,123.4,104.2,172.4,127.5,,,,,,,,
2013M11,62.6,42.4,103.2,46.2,89.2,,,,,,,,
2013M12,226,84,176.7,142.6,161.7,,,,,,,,
2014M01,189,100.6,162.7,149.5,179,,,,,,,,
2014M02,238,88.5,190.2,151.8,190.4,,,,,,,,
2014M03,107.1,53.7,75.4,70.1,87.2,,,,,,,,
2014M04,108.7,37.2,31.8,62.3,40.6,,,,,,,,
2014M05,66.8,88.5,85.5,121.7,88,,,,,,,,
2014M06,85.3,36.2,46.9,63.4,40.5,,,,,,,,
2014M07,48.6,36.6,88.3,35.2,39.3,,,,,,,,
2014M08,83.3,171.4,93.2,150.3,86.5,,,,,,,,
2014M09,20.4,26.5,23.7,16.4,73.8,,,,,,,,
2014M10,179.6,90.3,130.9,120.9,103.8,,,,,,,,
2014M11,191.8,140.8,134.6,154.3,129.4,,,,,,,,
2014M12,61.1,56.2,151.8,104.8,114.5,,,,,,,,
2015M01,114.9,47.4,175.3,88.8,126.2,,,,,,,,
2015M02,52.7,34.6,87.8,53.9,96.3,,,,,,,,
2015M03,88.7,57.5,123.7,92.6,101.8,,,,,,,,
2015M04,17,43.9,61.1,64.2,63.4,,,,,,,,
2015M05,137,90.5,138.1,135.7,111.5,,,,,,,,
2015M06,53.4,14.1,55,36.7,26.9,,,,,,,,
2015M07,159.1,69.2,132.7,76.5,82.8,,,,,,,,
2015M08,100.9,100.1,111.4,97.1,93.3,,,,,,,,
2015M09,97.7,56.7,29.4,39.5,87.9,,,,,,,,
,,,,,,,,,,,,,
Source: Met Eireann ,,,,,,,,,,,,,
